POSTCODE,POSTCODE,SA2_MAINCODE_2011,SA2_NAME_2011
0800,0800,701011002,Darwin City
0810,0810,701021010,Alawa
0810,0810,701021013,Brinkin - Nakara
0810,0810,701021016,Coconut Grove
0810,0810,701021018,Jingili
0810,0810,701021021,Lyons (NT)
0810,0810,701021023,Millner
0810,0810,701021024,Moil
0810,0810,701021025,Nightcliff
0810,0810,701021026,Rapid Creek
0810,0810,701021027,Tiwi
0810,0810,701021028,Wagaman
0810,0810,701021029,Wanguri
0812,0812,701021011,Anula
0812,0812,701021014,Buffalo Creek
0812,0812,701021019,Karama
0812,0812,701021020,Leanyer
0812,0812,701021022,Malak - Marrara
0812,0812,701021030,Wulagi
0820,0820,701011001,Darwin Airport
0820,0820,701011003,East Point
0820,0820,701011004,Fannie Bay - The Gardens
0820,0820,701011005,Larrakeyah
0820,0820,701011006,Ludmilla - The Narrows
0820,0820,701011007,Parap
0820,0820,701011008,Stuart Park
0820,0820,701011009,Woolner - Bayview - Winnellie
0820,0820,701021012,Berrimah
0820,0820,701021015,Charles Darwin
0822,0822,701021015,Charles Darwin
0822,0822,701021017,East Arm
0822,0822,701031032,Humpty Doo
0822,0822,701031033,Koolpinyah
0822,0822,701031034,Virginia
0822,0822,701031035,Weddell
0822,0822,702031057,Alligator
0822,0822,702031058,Daly
0822,0822,702031059,Thamarrurr
0822,0822,702031060,Tiwi Islands
0822,0822,702031061,West Arnhem
0822,0822,702041062,Anindilyakwa
0822,0822,702041063,East Arnhem
0822,0822,702051066,Gulf
0822,0822,702051067,Katherine
0828,0828,701021012,Berrimah
0829,0829,701031031,Howard Springs
0829,0829,701041038,Durack - Marlow Lagoon
0830,0830,701031033,Koolpinyah
0830,0830,701041037,Driver
0830,0830,701041038,Durack - Marlow Lagoon
0830,0830,701041039,Gray
0830,0830,701041040,Moulden
0830,0830,701041041,Palmerston - North
0830,0830,701041044,Woodroffe
0832,0832,701031031,Howard Springs
0832,0832,701031034,Virginia
0832,0832,701041036,Bakewell
0832,0832,701041041,Palmerston - North
0832,0832,701041042,Palmerston - South
0832,0832,701041043,Rosebery - Bellamack
0835,0835,701031031,Howard Springs
0835,0835,701031034,Virginia
0836,0836,701031032,Humpty Doo
0837,0837,701031035,Weddell
0838,0838,701031035,Weddell
0840,0840,702031057,Alligator
0841,0841,701031035,Weddell
0845,0845,702031057,Alligator
0846,0846,702031057,Alligator
0847,0847,702031058,Daly
0850,0850,702051067,Katherine
0852,0852,508041207,Halls Creek
0852,0852,508041208,Kununurra
0852,0852,702011053,Tanami
0852,0852,702021055,Barkly
0852,0852,702031058,Daly
0852,0852,702051065,Elsey
0852,0852,702051066,Gulf
0852,0852,702051067,Katherine
0852,0852,702051068,Victoria River
0853,0853,702051067,Katherine
0854,0854,702051066,Gulf
0860,0860,702021056,Tennant Creek
0862,0862,702021055,Barkly
0862,0862,702051066,Gulf
0870,0870,702011045,Charles
0870,0870,702011046,East Side
0870,0870,702011047,Flynn (NT)
0870,0870,702011048,Larapinta
0870,0870,702011049,Mount Johns
0870,0870,702011051,Ross
0872,0872,406021138,APY Lands
0872,0872,508031203,Leinster - Leonora
0872,0872,508061219,East Pilbara
0872,0872,702011050,Petermann - Simpson
0872,0872,702011052,Sandover - Plenty
0872,0872,702011053,Tanami
0872,0872,702011054,Yuendumu - Anmatjere
0872,0872,702021055,Barkly
0880,0880,702041063,East Arnhem
0880,0880,702041064,Nhulunbuy
0885,0885,702041062,Anindilyakwa
0886,0886,702031057,Alligator
0909,0909,701021013,Brinkin - Nakara
2000,2000,117031337,Sydney - Haymarket - The Rocks
2006,2006,117031332,Newtown - Camperdown - Darlington
2006,2006,117031335,Redfern - Chippendale
2007,2007,117031334,Pyrmont - Ultimo
2007,2007,117031335,Redfern - Chippendale
2008,2008,117031332,Newtown - Camperdown - Darlington
2008,2008,117031335,Redfern - Chippendale
2009,2009,117031334,Pyrmont - Ultimo
2010,2010,117031329,Darlinghurst
2010,2010,117031333,Potts Point - Woolloomooloo
2010,2010,117031336,Surry Hills
2011,2011,117031333,Potts Point - Woolloomooloo
2015,2015,117031330,Erskineville - Alexandria
2015,2015,117031332,Newtown - Camperdown - Darlington
2015,2015,117031335,Redfern - Chippendale
2015,2015,117031338,Waterloo - Beaconsfield
2016,2016,117031335,Redfern - Chippendale
2017,2017,117031338,Waterloo - Beaconsfield
